84|彼女は編むのが上手です | 彼女(かのじょ)は編(あ)むのが上手(じょうず)です | She is good at knitting.
85|セーターを編む計画を立てる | セーターを編(あ)む計画(けいかく)を立(た)てる | To make a plan to knit a sweater.
86|冬に向けてマフラーを編む | 冬(ふゆ)に向(む)けてマフラーを編(あ)む | To knit a scarf for winter.
87|編むことでストレスを解消する | 編(あ)むことでストレスを解消(かいしょう)する | To relieve stress by knitting.
88|母が私のために帽子を編んでくれた | 母(はは)が私(わたし)のために帽子(ぼうし)を編(あ)んでくれた | My mother knitted a hat for me.
89|このプロジェクトの新しい案を考える | このプロジェクトの新(あたら)しい案(あん)を考(かんが)える | To think of a new idea for this project.
90|案を提案する | 案(あん)を提案(ていあん)する | To propose an idea.
91|問題解決のための具体的な案 | 問題解決(もんだいかいけつ)のための具体的(ぐたいてき)な案(あん) | A concrete idea for solving a problem.
92|案を検討して反応を見る | 案(あん)を検討(けんとう)して反応(はんのう)を見(み)る | To review the idea and see the response.
93|案が採用される | 案(あん)が採用(さいよう)される | The idea is adopted.
94|運動して汗をかく | 運動(うんどう)して汗(あせ)をかく | To sweat while exercising.
95|暑い日にはよく汗をかく | 暑(あつ)い日(ひ)にはよく汗(あせ)をかく | I sweat a lot on hot days.
96|汗を拭くタオルが必要だ | 汗(あせ)を拭(ふ)くタオルが必要(ひつよう)だ | A towel is needed to wipe off sweat.
97|汗をかいた後でシャワーを浴びる | 汗(あせ)をかいた後(あと)でシャワーを浴(あ)びる | To take a shower after sweating.
98|ストレスで汗が出る | ストレスで汗(あせ)が出(で)る | Stress makes me sweat.
99|穴が靴の底に開いた | 穴(あな)が靴(くつ)の底(そこ)に開(あ)いた | A hole has formed in the bottom of the shoe.
100|穴を掘って植物を植える | 穴(あな)を掘(ほ)って植物(しょくぶつ)を植(う)える | To dig a hole and plant a plant.
101|穴から水が漏れている | 穴(あな)から水(みず)が漏(も)れている | Water is leaking from a hole.
102|壁に穴を開ける | 壁(かべ)に穴(あな)を開(あ)ける | To make a hole in the wall.
103|穴のある靴下を繕う | 穴(あな)のある靴下(くつした)を繕(つくろ)う | To mend socks with holes.
104|試験のために歴史を暗記する | 試験(しけん)のために歴史(れきし)を暗記(あんき)する | To memorize history for an exam.
105|暗記したことを忘れないようにする | 暗記(あんき)したことを忘(わす)れないようにする | To ensure not to forget what was memorized.
106|暗記は学習の一部です | 暗記(あんき)は学習(がくしゅう)の一部(いちぶ)です | Memorization is a part of learning.
107|英単語を暗記する方法 | 英単語(えいたんご)を暗記(あんき)する方法(ほうほう) | A method to memorize English words.
108|暗記カードを使って勉強する | 暗記(あんき)カードを使(つか)って勉強(べんきょう)する | To study using flashcards for memorization.
109|経済が安定している | 経済(けいざい)が安定(あんてい)している | The economy is stable.
110|安定した仕事を探す | 安定(あんてい)した仕事(しごと)を探(さが)す | To look for a stable job.
111|安定感がある関係 | 安定(あんてい)感(かん)がある関係(かんけい) | A relationship with a sense of stability.
112|安定した収入が必要です | 安定(あんてい)した収入(しゅうにゅう)が必要(ひつよう)です | A stable income is necessary.
113|精神的に安定する | 精神的(せいしんてき)に安定(あんてい)する | To become mentally stable.
114|粗い砂を使う | 粗(あら)い砂(すな)を使(つか)う | To use coarse sand.
115|粗い布で拭く | 粗(あら)い布(ぬの)で拭(ふ)く | To wipe with a rough cloth.
116|粗い解像度の画像 | 粗(あら)い解像度(かいぞうど)の画像(がぞう) | An image with a low resolution.
117|粗い塩を料理に使う | 粗(あら)い塩(しお)を料理(りょうり)に使(つか)う | To use coarse salt in cooking.
118|手編みの粗いセーター | 手編(てあ)みの粗(あら)いセーター | A hand-knitted, rough sweater.
119|嵐が近づいている | 嵐(あらし)が近(ちか)づいている | A storm is approaching.
120|嵐の夜を過ごす | 嵐(あらし)の夜(よる)を過(す)ごす | To spend a stormy night.
121|嵐で木が倒れた | 嵐(あらし)で木(き)が倒(たお)れた | Trees fell during the storm.
122|嵐の警報が発令された | 嵐(あらし)の警報(けいほう)が発令(はつれい)された | A storm warning was issued.
123|嵐に備える準備 | 嵐(あらし)に備(そな)える準備(じゅんび) | Preparations for an impending storm.
124|新たな挑戦を始める | 新(あら)たな挑戦(ちょうせん)を始(はじ)める | To start a new challenge.
125|新たな計画を立てる | 新(あら)たな計画(けいかく)を立(た)てる | To make a new plan.
126|新たな一年の始まり | 新(あら)たな一年(いちねん)の始(はじ)まり | The beginning of a new year.
127|新たな目標に向かう | 新(あら)たな目標(もくひょう)に向(む)かう | To aim for a new goal.
128|新たな発見をする | 新(あら)たな発見(はっけん)をする | To make a new discovery.
129|新種が現れる | 新種(しんしゅ)が現(あらわ)れる | A new species appears.
130|彼の真意が現れる | 彼(かれ)の真意(しんい)が現(あらわ)れる | His true intentions appear.
131|問題が突然現れた | 問題(もんだい)が突然(とつぜん)現(あらわ)れた | A problem suddenly appeared.
132|未知の現象が現れる | 未知(みち)の現象(げんしょう)が現(あらわ)れる | An unknown phenomenon appears.
133|彼の顔に笑顔が現れる | 彼(かれ)の顔(かお)に笑顔(えがお)が現(あらわ)れる | A smile appears on his face.
134|感謝を表す | 感謝(かんしゃ)を表(あらわ)す | To express gratitude.
135|チャートで結果を表す | チャートで結果(けっか)を表(あらわ)す | To represent results in a chart.
136|表情で気持ちを表す | 表情(ひょうじょう)で気持(きも)ちを表(あらわ)す | To express feelings through facial expressions.
137|彼は意見を率直に表す | 彼(かれ)は意見(いけん)を率直(そっちょく)に表(あらわ)す | He expresses his opinion frankly.
138|アートで自己を表す | アートで自己(じこ)を表(あらわ)す | To express oneself through art.
139|あらゆる努力をする | あらゆる努力(どりょく)をする | To make every effort.
140|あらゆる可能性を探る | あらゆる可能性(かのうせい)を探(さぐ)る | To explore every possibility.
141|あらゆる角度から考える | あらゆる角度(かくど)から考(かんが)える | To think from every angle.
142|あらゆる情報を集める | あらゆる情報(じょうほう)を集(あつ)める | To gather all information.
143|あらゆる年代の人々 | あらゆる年代(ねんだい)の人々(ひとびと) | People of all ages.
